country,year,prct_access_elec,prct_renew_prod,prct_renew_cons
China,2020,100,10.6602772642896,14.9
China,2021,100,12.856523818733,15.2
China,2022,100,..,..
China,2023,100,..,..
China,2024,..,..,..
Colombia,2015,98.2,-2.95292381291669,31.1
Colombia,2016,98.4,-0.916666666666667,30.5
Colombia,2017,98.5,-3.01333249243189,32.2
Colombia,2018,98.5,-1.7138176406588,30.4
Colombia,2019,99.4,2.30789031897034,31.5
Colombia,2020,99.7,2.45172158040956,32
Colombia,2021,100,0.984188735812692,29.7
Colombia,2022,100,..,..
Colombia,2023,98.7,..,..
Colombia,2024,..,..,..
Comoros,2015,74.1,0,67
Comoros,2016,76.4,0,64
Comoros,2017,78.7,0,59.5
Comoros,2018,81,0,57.7
Comoros,2019,83.3,0,55.3
Comoros,2020,85.6,0,50.8
Comoros,2021,87.9,0,41.2
Comoros,2022,89.9,..,39.3
Comoros,2023,89.8,..,..
Comoros,2024,..,..,..
"Congo, Dem. Rep.",2015,16.6,-1.65237297599107,95.8
"Congo, Dem. Rep.",2016,17.3,-2.92143560564613,97
"Congo, Dem. Rep.",2017,18,3.54386886623936,96.7
"Congo, Dem. Rep.",2018,18.7,1.08926595352269,96.4
"Congo, Dem. Rep.",2019,19.1,1.15431523672398,96.3
"Congo, Dem. Rep.",2020,20.1,-4.22328854766475,96.2
"Congo, Dem. Rep.",2021,20.8,-9.18054923380367,96.3
"Congo, Dem. Rep.",2022,21.5,..,..
"Congo, Dem. Rep.",2023,22.1,..,..
"Congo, Dem. Rep.",2024,..,..,..
"Congo, Rep.",2015,44.3,1.13181654026724,64.2
"Congo, Rep.",2016,45.3,1.23848238482385,67.7
"Congo, Rep.",2017,46.2,1.05264934188323,69.8
"Congo, Rep.",2018,47,-0.634351145038168,70.6
"Congo, Rep.",2019,47.7,7.74524207011686,69.8
"Congo, Rep.",2020,48.7,5.45404411764706,71.4
"Congo, Rep.",2021,49.7,2.61823529411765,71.4
"Congo, Rep.",2022,50.6,..,..
"Congo, Rep.",2023,51.3,..,..
"Congo, Rep.",2024,..,..,..
Costa Rica,2015,99.4,23.7778394376619,38.3
Costa Rica,2016,99.5,23.810464690816,34.1
Costa Rica,2017,99.6,22.3441049572951,33.3
Costa Rica,2018,99.7,25.2969360298585,33.1
Costa Rica,2019,99.7,30.2267861804891,33.4
Costa Rica,2020,99.9,28.2283229601842,36.4
Costa Rica,2021,100,26.4689487320405,34.2
Costa Rica,2022,100,..,..
Costa Rica,2023,100,..,..
Costa Rica,2024,..,..,..
Cote d'Ivoire,2015,62.6,0.00573986913098381,64.5
Cote d'Ivoire,2016,64.3,0.00104854776135053,64
Cote d'Ivoire,2017,65.6,0.00556947925368978,62.5
Cote d'Ivoire,2018,67.1,0.0059624366491106,60.5
Cote d'Ivoire,2019,68.6,0.257567211881933,61.1
Cote d'Ivoire,2020,69.9,0.219458018658374,61.8
Cote d'Ivoire,2021,71.1,0.204169910891946,58.2
Cote d'Ivoire,2022,72,..,..
Cote d'Ivoire,2023,72.4,..,..
Cote d'Ivoire,2024,..,..,..
Croatia,2015,100,9.81233008857318,33.1
Croatia,2016,100,11.7807332293292,31.8
Croatia,2017,100,15.0963865476091,29.8
Croatia,2018,100,15.2688724231531,32.8
Croatia,2019,100,19.7594043887147,31.6
Croatia,2020,100,21.5808741128129,32.4
Croatia,2021,100,22.3596318211703,34.1
Croatia,2022,100,..,..
Croatia,2023,100,..,..
Croatia,2024,..,..,..
Cuba,2015,99,3.71870070977918,21.1
Cuba,2016,99.2,3.65602698210969,19.2
Cuba,2017,99.4,3.4391964198852,22
Cuba,2018,99.6,2.95037673369487,24
Cuba,2019,99.8,3.59813966665093,23.1
Cuba,2020,99.9,3.98603583809384,24.5
Cuba,2021,100,4.157938101859,20.9
Cuba,2022,100,..,..
Cuba,2023,100,..,..
Cuba,2024,..,..,..
Curacao,2015,100,16.6400911161731,1.3
Curacao,2016,100,14.9287330316742,1.4
Curacao,2017,100,20.2839506172839,1.9
Curacao,2018,100,29.006936416185,2.5
Curacao,2019,100,27.7758816837315,2.5
Curacao,2020,100,24.7008343265793,2.8
Curacao,2021,100,18.2624113475177,2.8
Curacao,2022,100,..,..
Curacao,2023,100,..,..
Curacao,2024,..,..,..
Cyprus,2015,100,8.81164534627261,10.4
Cyprus,2016,100,8.68917536320851,10.3
Cyprus,2017,100,8.69724220623501,10.9
Cyprus,2018,100,9.43537549407115,12
Cyprus,2019,100,10.0128379692667,12
Cyprus,2020,100,12.3048051144566,15
Cyprus,2021,100,15.1349873022075,15.6
Cyprus,2022,100,..,..
Cyprus,2023,100,..,..
Cyprus,2024,..,..,..
Czechia,2015,100,9.09053306632337,14.8
Czechia,2016,100,8.863940270559,14.8
Czechia,2017,100,8.91174646204742,14.5
Czechia,2018,100,8.86310301350569,14.7
Czechia,2019,100,9.27101740679037,15.9
Czechia,2020,100,10.1230189882734,17
Czechia,2021,100,9.76659413044757,17.2
Czechia,2022,100,..,..
Czechia,2023,100,..,..
Czechia,2024,..,..,..
Denmark,2015,100,65.3734277816171,32.5
Denmark,2016,100,60.1579016307551,32
Denmark,2017,100,70.2111727161369,35
Denmark,2018,100,68.3113372188745,34.6
Denmark,2019,100,78.1176311153273,37.2
Denmark,2020,100,81.5576093010304,39.5
Denmark,2021,100,78.9104689863843,39.5
Denmark,2022,100,..,..
Denmark,2023,100,..,..
Denmark,2024,..,..,..
Djibouti,2015,59.1,0.280112044817927,24.8
Djibouti,2016,59.8,0.677200902934537,23.6
Djibouti,2017,60.2,1.00671140939597,23.3
Djibouti,2018,62.4,1.07913669064748,24.7
Djibouti,2019,64.7,0.655021834061135,23.4
Djibouti,2020,64.5,0.477707006369427,27.5
Djibouti,2021,65.4,35.3535353535354,26.6
Djibouti,2022,65,..,26.9
Djibouti,2023,65.2,..,..
Djibouti,2024,..,..,..
Dominica,2015,96.7,0.889300602130616,8.7
Dominica,2016,97.8,0.851441241685144,10.7
Dominica,2017,98.9,1.10841704191202,9.7
Dominica,2018,99.6,1.17860380779692,7.9
Dominica,2019,99.9,0.830140485312899,7.6
Dominica,2020,100,0.794216474900723,8.6
Dominica,2021,100,0.768170179239708,8.8
Dominica,2022,100,..,8.9
Dominica,2023,100,..,..
Dominica,2024,..,..,..
Dominican Republic,2015,98.6,2.51366970437875,14.9
Dominican Republic,2016,98.9,3.18636751225751,15.3
Dominican Republic,2017,100,3.72036062327375,16.9
Dominican Republic,2018,98.9,4.8794058408862,15.9
Dominican Republic,2019,99,6.10528041980977,14.4
Dominican Republic,2020,100,8.23111069576188,16
Dominican Republic,2021,98.1,9.05764594454968,14.8
Dominican Republic,2022,98.1,..,..
Dominican Republic,2023,99.6,..,..
Dominican Republic,2024,..,..,..
